serial,firm,permission_date,permission_date_raw,permission_no,drug_name,indication,dosage_form,permission_type,source_name,source_url,out_of_scope,out_of_scope_reason,retrieved_utc
124,M/s Eris Bionxt Private Limited,2026-06-30,30.06.2026,MF/BIO/26/00008 7,Insulin Glargine Injection IP,"For the treatment of adults, adolescents and children of 2 years of above with Diabetes mellitus, where treatment with insulin is required.",Dosage form: Solution for injection Strength: 100 IU/mL in 10 mL Vials,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
125,M/s Eris Bionxt PrivateLtd.,2026-06-30,30.06.2026,MF/BIO/26/00008 6,Insulin Glargine Injection IP,"For the treatment of adults, adolescents and children of 2 years of above with Diabetes mellitus, where treatment with insulin is require",Dosage form: Solution for injection Strength: 100 IU/mL in 5 mL Vials,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
1,M/s Bristol- Myers Squibb India Pvt. Ltd.,2020-02-21,21-02-2020,IMP/BIO/20/000008,"Ipilimumab Injection, 50 mg/10 mL (5 mg/mL), Single use vial","Renal Cell Carcinoma (RCC) Ipilimumab is indicated for treatment of patients with intermediate or poor risk, previously untreated advanced renal cell carcinoma, in combination with Nivolumab. Recommended dosage Combination phase: The recommended dose during the combination phase is Ipilimumab 1 mg/kg administered intravenously over a period of 30 minutes every 3 weeks for the first 4 doses in combination with Nivolumab 3 mg/kg administered intravenously over a period of 30 minutes, followed by the single-agent phase. Single- agent phase: The recommended dose of Nivolumab during the single- agent phase is 3 mg/kg every two weeks administered intravenously over a period of 30 minutes.",Dosage Form: concentrate for solution for infusion for intravenous injection Strength: 5 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,ipilimumab is an oncology molecule,2026-08-05T12:34:01+00:00
2,M/s Sandoz Private Limited,2020-03-15,15.03.2020,IMP/BIO/19/000001 (Initial approval granted on 18.02.2019),Ranibizumab Solution for injection in vial 10mg/mL + filter needle,"Ranibizumab is indicated in preterm inf ants for: The treatment of retinopathy of prematurity (ROP) with zone I (stage1+, 2+, 3 or 3+), zone II (stage 3+) or AP-ROP (aggressive posterior ROP) disease (Additional Indication)","Solution for injection. Each Vial contains 2.3 mg of Ranibizumab in 0.23 mL solution. Strength: 10 mg/mL,",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
3,M/s Sandoz Private Limited,2020-03-26,26-03-2020,IMP/BIO/20/000026,Crizanlizumab Concentrate for solution for infusion 10 mg/mL (100mg/10mL),Crizanlizumab is indicated to reduce the frequency of vasoocclusive crises in adults and pediatric patients aged 16 years and older with sickle cell disease.,Dosage Form: Concentrate for solution for infusion Strength: 10mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
4,M/s Dr. Reddy’s Laboratories Ltd,2020-04-03,3-04-2020,IMP/BIO/20/000029,Evolocumab Solution for Injection 140mg/ml (r-DNA origin),"1) Homozygous familial hypercholesterolaemia: Evolocumab is indicated in adults and adolescents aged 12 years and over with homozygous familial hypercholesterolaemia in combination with other lipid- lowering therapies. 2) Hypercholesterolaemia and mixed dyslipidaemia: Evolocumab is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: □ in combination with a statin or statin with other lipid lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin or, □ alone or in combination with other lipid- lowering therapies in patients who are statin- intolerant, or for whom a statin is contraindicated., 3) Evolocumab is indicated in adults with Established atherosclerotic cardiovascular disease (myocardial infarction, stroke or peripheral arterial disease) to reduce cardiovascular risk by lowering LDL-C levels, as an adjunct to correction of other risk factors: □ in combination with the maximum tolerated dose of a statin with or without other lipid- lowering therapies or,",Dosage Form: Solution for Injection. Each single use Prefilled Syringe / Prefilled Autoinjector Strength: Evolocumab Injection 140 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
5,M/s Sandoz Private Limited,2020-07-01,1-07-2020,IMP/BIO/20/000056,Brolucizumab solution for injection 120 mg/mL (r-DNA origin),For the treatment of neovascular (wet) age-related macular degeneration (AMD),Dosage Form: Solution for Injection (1 Vial + 1 filter needle) Strength: 120 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
6,M/s Novo Nordisk India Pvt Ltd,2020-07-16,16-07-2020,IMP/BIO/20/000059,Catridecacog (recombinant coagulation factor XIII) 2500 IU (Novo Thirteen),Long term prophylactic treatment of bleeding in patients with congenital factor XIII A subunit deficiency. Novo Thirteen can be used for all age groups,Dosage Form: Lyophilized Powder for solution for injection in vial Strength: 2500 IU,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
7,M/s Novo Nordisk India Pvt Ltd,2020-07-27,27-07-2020,IMP/BIO/20/000060,Semaglutide,Semaglutide is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus • as monotherapy when metformin is considered inappropriate due to intolerance or contraindications; • in combination with other medicinal products for the treatment of diabetes,"Dosage Form: Solid oral (tablets). Semaglutide Strength 3 mg Tablets, 7 mg Tablets and 14 mg Tablets",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
8,M/s Novo Nordisk India Pvt Ltd,2020-08-05,5-08-2020,IMP/BIO/20/000063,Nonacog beta pegol,Nonacog beta pegol is indicated for treatment and prophylaxis of bleeding in pretreated patients with haemophilia B (congenital factor IX deficiency,"Dosage Form: Lyophilized Powder for solution for injection. Nonacog beta pegol Strength: 500.0 IU/Vial , 1000.0 IU/Vial and 2000.0 IU/Vial",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
9,M/s Baxalta Bioscience India Pvt.Ltd,2020-09-09,9-09-2020,IMP/BIO/20/000068,Rurioctocog alfa pegol (PEGylated recombinant human FVIII),Rurioctocog alfa pegol (Adynovate) is a human antihemophilic factor indicated in children and adults with Hemophilia A (congenital factor VIII deficiency) for: □ On-demand treatment and control of bleeding episodes □ Perioperative management □ Routine prophylaxis to reduce the frequency of bleeding episodes,"Dosage Form: Lyophilized Powder for solution for injection, Strength: 250 IU/500 IU/750 IU/1000 IU/1500 IU/2000 IU vials",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
10,M/s Cipla Limited,2020-10-27,27-10-2020,IMP/BIO/20/000082,"Recombinant Human Growth Hormone (Somatropin) Injection 4 IU, (IP)","Long term, treatment of children who have growth failure due to endogenous growth hormone and for treatment of short stature in children with Turner's syndrome confirmed by Chromosomal analysis",Dosage Form: Powder for solution for Injection. Each vial of Recombinant human Growth Hormone (EUTROPIN) contains 4 IU of Recombinant Human Growth Hormone (somatropin). The pack is supplied with 1 mL vial for injection for subcutaneous use,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
11,M/s Merck Specialities Private Limited,2020-10-29,29-10-2020,IMP/BIO/20/000085,Follitropin alfa (r- DNA origin) and Lutropin alfa (r- DNA origin) Injection (Brand Name: Pergoveris),Pergoveris is indicated for the stimulation of follicular development in adult women with severe LH and FSH deficiency,Dosage Form: Solution for Injection in Prefilled Pen Strength: 1. Pergoveris (300 IU rhFSH + 150 IU r- hLH)/0.48 mL; 2. Pergoveris (450 IU rhFSH + 225 IU r-hLH)/0.72 mL; 3. Pergoveris (900 IU rhFSH + 450 IU r- hLH)/1.44 mL.,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
12,M/s AstraZeneca Pharma India Limited,2020-12-16,16-12-2020,IMP/BIO/20/000097,Benralizumab,"Benralizumab is indicated as an add-on maintenance treatment for severe asthma with an eosinophilic phenotype in adult patients. The recommended dose is 30 mg of Benralizumab by subcutaneous injection every 4 weeks for the first 3 doses, and then every 8 weeks thereafter",Dosage Form: Solution for injection in a single dose prefilled syringe (with Needle Safety Guard) for Subcutaneous administration only Strength: 30 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
13,M/s Novo Nordisk India Private Limited,2021-03-02,02-03-2021,IMP/BIO/21/000001,Turoctocog Alfa Pegol,"Turoctocog alfa pegol [antihemophilic factor (recombinant), glycopegylated-exei] is a recombinant DNA-derived coagulation Factor VIII concentrate indicated for use in adults and children with hemophilia A for: □ On-demand treatment and control of bleeding episodes □ Perioperative management of bleeding □ Routine prophylaxis to reduce the frequency of bleeding episodes Limitation of Use: Turoctocog alfa pegol is not indicated for the treatment of von Willebrand disease","Dosage Form: Turoctocog alfa pegol lyophilised powder for reconstitution into a solution for injection for intravenous use Strengths: 500 IU/vial, 1000 IU/vial, 1500 IU/vial, 2000 IU/vial and 3000 IU/vial; single dose vial pack for single use administration",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
14,M/s Novartis Healthcare Private Limited,2021-03-12,12-03-2021,IMP/BIO/21/000004 PAC- IMP/BIO/25/000140 for approval of additional pack presentation,Ofatumumab,"Treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.",Dosage Form: Solution for injection in pre-filled syringe/ pre-filled pen Strength: Ofatumumab 20 mg/0.4 mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,ofatumumab is an oncology molecule,2026-08-05T12:34:01+00:00
15,M/s Novartis Healthcare Private Limited,2021-03-26,,"Import 6200/05 dated 26.10.2005, 12-57/05-",Omalizumab,Additional indication - Omalizuamb is indicated as an add-on therapy with intranasal corticosteroids (INC) for the treatment of adults (18 years and above) with severe Chronic rhinosinusitis with nasal polyps for whom therapy with INC does not provide adequate disease control,(a) Omalizumab powder and solvent for solution for injection 75 mg & 150 mg single-use vial (b) Omalizumab solution for injection in a pre- filled syringe 75 mg/0.5 mL and 150 mg/1.0 mL single-use pre-filled syringe; for subcutaneous administration only,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
16,M/s Sanofi- synthelabo (India) Pvt. Ltd.,2021-04-08,IM 08-04-2021,P-119/2016 dated 02-Aug-2016,Agalsidase Beta,Agalsidase Beta is indicated for long term enzyme replacement therapy in patients with a confirmed diagnosis of Fabry Disease (α- galactosidase A deficiency),"additional strength Agalsidase Beta (r-DNA origin) 5 mg Vial, Dosage Form: Powder for Concentrate for Solution for Infusion",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
17,M/s Roche Products (India) Pvt. Ltd,2021-05-03,03-05-2021,IMP/BIO/21/000017,Casirivimab (r- DNA origin) and Imdevimab (r- DNA origin),"Combination of Casirivimab and Imdevimab indicated for restricted use in emergency situation, for the treatment of mild to moderate corona virus disease 2019 (COVID-19) in adults and pediatric patients (12 years of age and older weighing at least 40 kg) with laboratory confirmed SARS- COV2 infection and who are at high risk of severe COVID-19 and does not require oxygen.","Casirivimab is a sterile, preservative-free, clear to slightly opalescent, color less to pale yellow solution. Imdevimab is a sterile, preservative- free, clear to slightly opalescent, color less to pale yellow solution with a pH of 6.0. Casirivimab and Imdevimab are each supplied in individual single-dose vials. Casirivimab and Imdevimab is approved at combine dose of 1200 mg (600 mg of each drug) administered by intravenous infusion or subcutaneous route.",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
18,"M/s Amgen Technology Private Limited,",2021-05-04,04-05-2021,IMP/BIO/21/000018,Romosozumab,"Treatment of Postmenopausal Women with Osteoporosis at High Risk for Fracture Romosozumab is indicated for the treatment of osteoporosis in postmenopausal women at high risk for fracture, defined as a history of osteoporotic fracture, or multiple risk factors for fracture; or patients who have failed or are intolerant to other available osteoporosis therapy.","Romosozumab (r-DNA origin) Injection 90 mg/mL. 105 mg/1.17mL clear to opalescent, colorless to light yellow solution for injection in a single- use prefilled syringe for Subcutaneous use Strength: 90mg/mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
19,M/s Johnson & Johnson Pvt. Ltd,2021-06-01,01-06-2021,IMP/BIO/21/000027,Daratumumab,"a) In combination with lenalidomide and dexamethasone or with bortezomib, melphalan and prednisone for the treatment of adult patients with newly diagnosed multiple myeloma who are ineligible for autologous stem cell transplant. b) In combination with bortezomib, thalidomide and dexamethasone for the treatment of adult patients with newly diagnosed multiple myeloma who are eligible for autologous stem cell transplant. c) For the treatment of patients with multiple myeloma who have received at least one prior therapy. d) For the treatment of patients with relapsed and refractory multiple myeloma, whose prior therapy included a proteasome inhibitor and an immunomodulatory agent.","Daratumumab 1800 mg (120 mg/mL). The product is supplied in vial as a sterile, 120mg/mL liquid for subcutaneous injection. Each vial contains 1800 mg of Daratumumab in a 15mL nominal fill volume and an excess volume of at least 1.3mL. The Drug Product contains no preservatives and is for single use only.",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,daratumumab is an oncology molecule,2026-08-05T12:34:01+00:00
20,M/s Merck Specialities Private Limited,2021-06-02,02-06-2021,IMP/BIO/19/000052 (Drug originally approved on 31-,Avelumab,Additional indication - 1) Avelumab is indicated as monotherapy for the first-line maintenance treatment of adult patients with locally advanced or metastatic urothelial carcinoma (UC) whose disease has not progressed with first-line platinum-based induction chemotherapy. 2) Avelumab in combination with axitinib is indicated for the first-line treatment of adult patients with advanced renal cell carcinoma (RCC),Avelumab concentrate for solution for infusion (Intravenous Infusion) Strength: 20 mg/ml vial,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,indication names metastatic,2026-08-05T12:34:01+00:00
21,M/s Roche Products (India) Pvt. Ltd,2021-06-09,09-06-2021,IMP/BIO/21/000030,Satralizumab,Satralizumab is indicated as monotherapy or in combination with immunosuppressants for the treatment of adult and adolescent patients with neuromyelitis optica spectrum disorders (NMOSD).,Satralizumab Injection 120 mg/ml pre-filled syringe (PFS) with needle safety device (NSD) for subcutaneous use for single dose administration,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
22,M/s Eli Lilly and Company (India) Pvt. Ltd.,2021-07-06,06-07-2021,IMP/BIO/21/000038,Insulin Lispro Ultrarapid,Treatment of diabetes mellitus in adults.,"Solution for Injection 100 units/ml and 200 units/ml Presentations: 1. Insulin Lispro Ultrarapid Injection 100 units/ml, 3ml cartridge & 3ml prefilled pen 2. Insulin Lispro Ultrarapid Injection 100 units/mL, 10ml vial, multiple dose for Subcutaneous and Intravenous use 3. Insulin lispro Ultrarapid Injection 200 units/ml, 3ml prefilled pen",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
23,M/s Pfizer Limited,2021-09-29,29-09-2021,MP/BIO/21/000080,Infliximab,"Crohn’s Disease  Infliximab is indicated for reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active disease who have had an inadequate response to conventional therapy. Infliximab is indicated for reducing the number of draining enterocutaneous and rectovaginal fistulas and maintaining fistula closure in adult patients with fistulizing Crohn’s disease. Pediatric Crohn’s Disease  Infliximab is indicated for reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active disease who have had an inadequate response to conventional therapy. Ulcerative Colitis  Infliximab is indicated for reducing signs and symptoms, inducing and maintaining clinical remission and mucosal healing, and eliminating corticosteroid use in adult patients with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy. Pediatric Ulcerative Colitis  Infliximab is indicated for reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy. Rheumatoid Arthritis  Infliximab, in combination with methotrexate, is indicated for reducing signs and symptoms, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active rheumatoid arthritis. Ankylosing Spondylitis  Infliximab is indicated for reducing signs and symptoms in patients with active ankylosing spondylitis. Psoriatic Arthritis  Infliximab is indicated for reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function in patients with psoriatic arthritis.",Lyophilized Powder for Concentrate for Solution for Intravenous Infusion; Strength: 100 mg powder per vial,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
24,M/s Roche Products (India) Pvt. Ltd.,2021-10-01,01-10-2021,IMP/BIO/21/00 0082,Pertuzumab- Trastuzumab,"1. Early Breast Cancer (EBC) Pertuzumab- Trastuzumab Injection is indicated for use in combination with chemotherapy for:  The neoadjuvant treatment of adult patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer (either greater than 2 cm in diameter or node positive) as part of a complete treatment regimen for early breast cancer.  The adjuvant treatment of adult patients with HER2- positive early breast cancer at high risk of recurrence. 2. Metastatic Breast Cancer (MBC) Pertuzumab-Trastuzumab Injection is indicated for use in combination with docetaxel for the treatment of adult patients with HER2-positive metastatic breast cancer who have not received prior anti-HER2 therapy or chemotherapy for metastatic disease",Solution for subcutaneous injection Strength: 600mg Pertuzumab + 600mg Trastuzumab [10ml/15cc vial] and 1200mg Pertuzumab + 600mg Trastuzumab vial [15ml/20cc vial],import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,pertuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
25,M/s Bristol- Myers Squibb India Pvt. Ltd.,2016-06-09,09-06-2016,IMP-88/2016,Nivolumab,"1. Non-small cell lung cancer (NSCLC):  Nivolumab as a single agent is indicated for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy (approved on 09.06.2016).  Nivolumab, in combination with ipilimumab, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1 (≥1%) as determined by a validated test, with no EGFR or ALK genomic tumor aberrations (additional indication approved on 09.04.2021).  Nivolumab, in combination with ipilimumab and 2 cycles of platinum- doublet chemotherapy, is indicated for the first- line treatment of adult patients with metastatic or recurrent non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations (additional indication approved on 09.04.2021) 2) Renal cell carcinoma (RCC):  Nivolumab as a single agent is indicated for the treatment of patients with advanced renal cell carcinoma (RCC) after prior therapy in adults (approved on 09.06.2016).  Ipilimumab is indicated for treatment of patients with intermediate or poor risk, previously untreated advanced renal cell carcinoma, in combination with Nivolumab (additional indication approved on 04.06.2020). 3) Squamous Cell Carcinoma of the Head and Neck (SCCHN): Nivolumab as monotherapy is indicated for the treatment of recurrent or metastatic squamous cell carcinoma of the head and neck after platinum based therapy (additional indication approved on 04.10.2017). 4) Melanoma:  Nivolumab as a single agent is indicated for the treatment of patients with BRAF V600 wild type unresectable or metastatic melanoma (additional indication approved on 12.06.2018) Nivolumab as a single agent is indicated for the treatment of patients with BRAF V600 Mutation positive unresectable or metastatic melanoma (approved on 02.07.2018)  Nivolumab is indicated for the treatment of patients with melanoma with lymph node involvement or metastatic disease who have undergone complete resection, in the adjuvant settings (additional indication approved on 18.04.2019) 5) Classical Hodgkin Lymphoma (cHL) (additional indication approved on 12.06.2018): Nivolumab is indicated for the treatment of adult patients with classical Hodgkin lymphoma (cHL) that has relapsed or progressed after:  autologous hematopoietic stem cell transplantation (HSCT) and brentuximab vedotin, or  3 or more lines of systemic therapy that includes autologous HSCT. 6) Urothelial Carcinoma (UC) (additional indication approved on 18.04.2019)- Nivolumab is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who:  have disease progression during or following platinum- containing chemotherapy.  have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum- containing chemotherapy 7) Colorectal Cancer (CRC) - Nivolumab as monotherapy is indicated for the treatment of adult and pediatric (12 years and older) patients with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer (CRC) that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan (additional indication approved on 18.04.2019). 8) Esophageal squamous cell carcinoma (ESCC): Nivolumab is indicated for the treatment of unresectable advanced, recurrent, or metastatic esophageal squamous cell carcinoma (ESCC) after prior fluoropyrimidine and platinum- based Chemotherapy (additional indication approved on 04.08.2021). 9) Gastric Cancer Gastroesophageal Junction Cancer and Esophageal Adenocarcinoma (Gastric, GEJC or EAC): Nivolumab in combination with fluoropyrimidine and platinum- containing chemotherapy is indicated for the treatment of patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma (additional indication approved on 30.11.2021). 10) Adjuvant treatment of Resected Junction Cancer (EC or GEJC) Esophageal or Gastroesophageal: Nivolumab is indicated for the adjuvant treatment of esophageal or completely resected gastroesophageal junction cancer with residual pathologic disease in patients, who have received neoadjuvant chemoradiotherapy (CRT) (additional indication approved on 30.11.2021).",Nivolumab concentrate for solution for infusion; 40 mg and 100 mg Strength: 10 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,nivolumab is an oncology molecule,2026-08-05T12:34:01+00:00
26,M/s Cipla Limited,2021-10-14,14-10-2021,IMP/BIO/21/000085,Insulin Lispro I.P.,Diabetes mellitus,"Suspension for Injection Strength: 100 IU/mL, Cartridge and prefilled pen and 200U/ml, prefilled pen",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
27,M/s Cipla Limited,2021-09-30,30-09-2021,IMP/BIO/21/000084,Insulin Lispro Biphasic Injection I.P. (25% Insulin Lispro and 75% Insulin Lispro Protamine),Diabetes mellitus,Suspension for Injection in Cartridge and prefilled pen Strength: 100IU/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
28,M/s Takeda Pharmaceutical s India Pvt. Ltd.,2021-10-20,20-10-2021,IMP/BIO/21/000089,Brentuximab 1. Vedotin,"Previously untreated Stage III or IV classical Hodgkin lymphoma (cHL), in combination with chemotherapy 2. Classical Hodgkin lymphoma (cHL) consolidation 3. Relapsed classical Hodgkin lymphoma(cHL) 4. Previously untreated systemic anaplastic large cell lymphoma (sALCL) or other CD30-expressing peripheral T-cell lymphomas (PTCL), in combination with chemotherapy 5. Relapsed systemic anaplastic large cell lymphoma (sALCL) 6. Relapsed primary cutaneous anaplastic large cell lymphoma (pcALCL) or CD30-expressing mycosis fungoides (MF)",Powder for concentrate for solution for infusion in vial Strength: 50 mg,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,brentuximab is an oncology molecule,2026-08-05T12:34:01+00:00
29,M/s Cipla Limited,2021-11-29,29-11-2021,IMP/BIO/21/000096,Recombinant Human Erythropoietin injection I.P.,For treatment of anemia in chronic renal failure patients,"Solution for injection Strength: 2000 IU/0.5 ml, 3000 IU/0.3 ml, 4000 IU/0.4 ml, 6000 IU/0.6 ml, 8000 IU/0.8 ml and 10000 IU/1.0ml Solution for injection in pre-filled syringe",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
30,M/s Cipla Limited,2021-12-09,09-12-2021,IMP/BIO/21/000100,Insulin Lispro Biphasic Injection I.P. (50% Insulin Lispro and 50% Insulin Lispro Protamine suspension) Injection (r-DNA origin),For the treatment of patients with diabetes mellitus who require insulin for the maintenance of normal glucose homeostasis,Suspension for injection in Cartridge & prefilled pen Strength:100 IU/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
31,M/s Cipla Limited,2021-12-22,22-12-2021,IMP/BIO/21/000106,Recombinant Human Erythropoietin injection I.P.,For treatment of anemia in chronic renal failure patients,"Solution for injection in vial Strength:10,000 IU/ 1mL, 20,000 IU/2mL",import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
32,M/s Dr. Reddy’s Laboratories Limited,2022-01-05,05-01-2022,IMP/BIO/22/000001,Romosozumab,"Treatment of Postmenopausal Women with Osteoporosis at High Risk for Fracture Romosozumab is indicated for the treatment of osteoporosis in postmenopausal women at high risk for fracture, defined as a history of osteoporotic fracture, or multiple risk factors for fracture; or patients who have failed or are intolerant to other available osteoporosis therapy. Limitations of Use The anabolic effect of Romosozumab wanes after 12 monthly doses of therapy. Therefore, the duration of Romosozumab use should be limited to 12 monthly doses. If osteoporosis therapy remains warranted, continued therapy with an anti-resorptive agent should be considered. Two 105 mg/1.17 mL single use prefilled syringes are required to administer the recommended 210 mg dose of Romosozumab",Solution for injection in a single-use prefilled syringe for Subcutaneous use. Strength: 90 mg/mL,import,"CDSCO r-DNA register — CT-18 Approvals Jan, 2020 - June 2026.pdf",https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
