drug,category,indication,registry_indication,indication_category,mapped,off_label,qualifier,is_primary
Human chorionic gonadotropin,Women's Health,Luteal support,Infertility / Assisted Reproduction,Women's Health,True,False,,False
Leuprolide acetate,Women's Health,IVF down-regulation,Infertility / Assisted Reproduction,Women's Health,True,False,,True
Leuprolide acetate,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,False
Leuprolide acetate,Women's Health,Fibroids,Uterine Fibroids,Women's Health,True,False,,False
Leuprolide acetate,Women's Health,Precocious puberty,,,False,False,,False
Goserelin,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,True
Goserelin,Women's Health,Fibroids,Uterine Fibroids,Women's Health,True,False,,False
Cetrorelix,Women's Health,Prevention of premature LH surge in IVF,Infertility / Assisted Reproduction,Women's Health,True,False,,True
Cabergoline,Women's Health,Hyperprolactinemia,Hyperprolactinaemia,Women's Health,True,False,,True
Cabergoline,Women's Health,Infertility,Infertility / Assisted Reproduction,Women's Health,True,False,,False
Cabergoline,Women's Health,Lactation suppression,Hyperprolactinaemia,Women's Health,True,False,,False
Bromocriptine,Women's Health,Hyperprolactinemia,Hyperprolactinaemia,Women's Health,True,False,,True
Bromocriptine,Women's Health,Infertility,Infertility / Assisted Reproduction,Women's Health,True,False,,False
Bromocriptine,Women's Health,Lactation suppression,Hyperprolactinaemia,Women's Health,True,False,,False
Progesterone (micronized),Women's Health,Luteal support,Infertility / Assisted Reproduction,Women's Health,True,False,ART,True
Progesterone (micronized),Women's Health,Threatened/recurrent miscarriage,Recurrent Pregnancy Loss / Preterm Birth Prevention,Women's Health,True,False,,False
Progesterone (micronized),Women's Health,Preterm prevention,,,False,False,,False
Progesterone (micronized),Women's Health,HRT,,,False,False,,False
Dydrogesterone,Women's Health,Threatened/habitual abortion,Medical Termination of Pregnancy,Women's Health,True,False,,True
Dydrogesterone,Women's Health,Luteal support,Infertility / Assisted Reproduction,Women's Health,True,False,,False
Dydrogesterone,Women's Health,DUB,,,False,False,,False
Dydrogesterone,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,False
Dydrogesterone,Women's Health,Secondary amenorrhea,,,False,False,,False
Dydrogesterone,Women's Health,HRT,,,False,False,,False
Norethisterone,Women's Health,Heavy/dysfunctional uterine bleeding,Heavy Menstrual Bleeding (Menorrhagia),Women's Health,True,False,,True
Norethisterone,Women's Health,Delay of menstruation,,,False,False,,False
Norethisterone,Women's Health,Amenorrhea,,,False,False,,False
Norethisterone,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,False
Medroxyprogesterone acetate (oral),Women's Health,DUB,,,False,False,,False
Medroxyprogesterone acetate (oral),Women's Health,Secondary amenorrhea,,,False,False,,False
Medroxyprogesterone acetate (oral),Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,True
Medroxyprogesterone acetate (oral),Women's Health,HRT,,,False,False,,False
Hydroxyprogesterone caproate,Women's Health,Prevention of recurrent miscarriage & preterm birth,Recurrent Pregnancy Loss / Preterm Birth Prevention,Women's Health,True,False,,True
Dienogest,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,True
Dienogest,Women's Health,Chronic pelvic pain,,,False,False,,False
Estradiol valerate,Women's Health,Menopausal HRT,Vasomotor Symptoms,Women's Health,True,False,,True
Estradiol valerate,Women's Health,Endometrial preparation,Infertility / Assisted Reproduction,Women's Health,True,False,ART,False
Estradiol valerate,Women's Health,Hypoestrogenism,Vasomotor Symptoms,Women's Health,True,False,,False
Conjugated equine estrogens,Women's Health,Menopausal symptoms,Vasomotor Symptoms,Women's Health,True,False,,True
Conjugated equine estrogens,Women's Health,Atrophic vaginitis,Vasomotor Symptoms,Women's Health,True,False,,False
Conjugated equine estrogens,Women's Health,Hypoestrogenism,Vasomotor Symptoms,Women's Health,True,False,,False
Tibolone,Women's Health,Menopausal vasomotor symptoms,Vasomotor Symptoms,Women's Health,True,False,,True
Tibolone,Women's Health,Osteoporosis prevention,Osteoporosis,Women's Health,True,False,,False
Estradiol + Dydrogesterone,Women's Health,Menopausal HRT,Vasomotor Symptoms,Women's Health,True,False,with intact uterus,True
Estriol (vaginal),Women's Health,Atrophic vaginitis,Vasomotor Symptoms,Women's Health,True,False,,True
Estriol (vaginal),Women's Health,Genitourinary syndrome of menopause,Vasomotor Symptoms,Women's Health,True,False,,False
Ormeloxifene (Centchroman),Women's Health,Weekly non-hormonal contraceptive,Contraception,Women's Health,True,False,Saheli,True
Ormeloxifene (Centchroman),Women's Health,DUB & mastalgia,,,False,False,Sevista,False
Tranexamic acid,Women's Health,Heavy menstrual bleeding,Heavy Menstrual Bleeding (Menorrhagia),Women's Health,True,False,menorrhagia,True
Tranexamic acid,Women's Health,Hemorrhage,,,False,False,,False
Tranexamic acid,Women's Health,Trauma,,,False,False,,False
Tranexamic acid,Women's Health,PPH,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,False
Mefenamic acid,Women's Health,Primary dysmenorrhea,,,False,False,,False
Mefenamic acid,Women's Health,Menorrhagia,Heavy Menstrual Bleeding (Menorrhagia),Women's Health,True,False,,True
Ethamsylate,Women's Health,Menorrhagia,Heavy Menstrual Bleeding (Menorrhagia),Women's Health,True,False,,True
Ethamsylate,Women's Health,Capillary bleeding,,,False,False,,False
Oxytocin,Women's Health,Induction/augmentation of labor,Labour Induction & Cervical Ripening,Women's Health,True,False,,True
Oxytocin,Women's Health,Prevention & treatment of PPH,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,False
Methylergometrine,Women's Health,PPH,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,True
Methylergometrine,Women's Health,Uterine atony,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,False
Methylergometrine,Women's Health,Promotion of uterine involution,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,False
Carboprost (15-methyl PGF2α),Women's Health,Refractory PPH,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,True
Carboprost (15-methyl PGF2α),Women's Health,Second-trimester abortion,Medical Termination of Pregnancy,Women's Health,True,False,,False
Misoprostol,Women's Health,Medical abortion,Medical Termination of Pregnancy,Women's Health,True,False,with mifepristone,True
Misoprostol,Women's Health,PPH,Postpartum Haemorrhage (Prevention & Treatment),Women's Health,True,False,,False
Misoprostol,Women's Health,Cervical ripening,Labour Induction & Cervical Ripening,Women's Health,True,False,,False
Misoprostol,Women's Health,Induction,,,False,False,,False
Misoprostol,Women's Health,Incomplete abortion,Medical Termination of Pregnancy,Women's Health,True,False,,False
Mifepristone,Women's Health,Medical termination of pregnancy,Medical Termination of Pregnancy,Women's Health,True,False,≤9 wk,True
Mifepristone,Women's Health,Cervical priming,Labour Induction & Cervical Ripening,Women's Health,True,False,,False
Dinoprostone,Women's Health,Cervical ripening & induction of labor,Labour Induction & Cervical Ripening,Women's Health,True,False,,True
Isoxsuprine,Women's Health,Threatened preterm labor,Preterm Labour (Tocolysis),Women's Health,True,False,beta-agonist,True
Atosiban,Women's Health,Suppression of preterm labor,Preterm Labour (Tocolysis),Women's Health,True,False,,True
Magnesium sulfate,Women's Health,Eclampsia/severe pre-eclampsia seizure prophylaxis,Pre-eclampsia / Eclampsia,Women's Health,True,False,,True
Magnesium sulfate,Women's Health,Fetal neuroprotection,,,False,False,,False
Magnesium sulfate,Women's Health,Tocolysis,Preterm Labour (Tocolysis),Women's Health,True,False,,False
Nifedipine,Women's Health,Tocolysis,Preterm Labour (Tocolysis),Women's Health,True,True,"off-label, commonly used",True
Ferrous salts / Iron (oral),Women's Health,Iron-deficiency anemia in pregnancy,Iron-Deficiency Anaemia (Pregnancy & Postpartum),Women's Health,True,False,,True
Ferric carboxymaltose (FCM),Women's Health,Moderate–severe iron-deficiency anemia,Iron-Deficiency Anaemia (Pregnancy & Postpartum),Women's Health,True,False,pregnancy/postpartum,True
Iron sucrose,Women's Health,Iron-deficiency anemia when oral not tolerated,Iron-Deficiency Anaemia (Pregnancy & Postpartum),Women's Health,True,False,,True
Folic acid,Women's Health,Neural-tube-defect prevention,Iron-Deficiency Anaemia (Pregnancy & Postpartum),Women's Health,True,False,,True
Folic acid,Women's Health,Megaloblastic anemia,Iron-Deficiency Anaemia (Pregnancy & Postpartum),Women's Health,True,False,,False
Anti-D (Rho) immunoglobulin,Women's Health,Prevention of Rh alloimmunization in Rh-negative mothers,Rh(D) Alloimmunisation Prophylaxis,Women's Health,True,False,D,True
Betamethasone,Women's Health,Fetal lung maturation in threatened preterm birth,Fetal Lung Maturation (Antenatal Corticosteroid),Women's Health,True,False,,True
Danazol,Women's Health,Endometriosis,Endometriosis,Women's Health,True,False,,True
Danazol,Women's Health,Fibrocystic breast disease,,,False,False,,False
Danazol,Women's Health,Hereditary angioedema,,,False,False,,False
Ulipristal acetate (5 mg),Women's Health,Uterine fibroid symptoms,Uterine Fibroids,Women's Health,True,False,pre-operative,True
Spironolactone,Women's Health,Hirsutism/acne in PCOS,Polycystic Ovary Syndrome (PCOS),Women's Health,True,True,off-label,True
Myo-inositol (± D-chiro),Women's Health,PCOS – insulin sensitivity & ovulation support,Type 2 Diabetes,Metabolic,True,False,nutraceutical,True
Domperidone,Women's Health,Stimulation of lactation,Hyperprolactinaemia,Women's Health,True,True,off-label,True
Domperidone,Women's Health,Also anti-emetic,,,False,False,,False
Clotrimazole (vaginal),Women's Health,Vulvovaginal candidiasis,Vulvovaginal Candidiasis,Women's Health,True,False,,True
Fluconazole,Women's Health,Vulvovaginal candidiasis,Vulvovaginal Candidiasis,Women's Health,True,False,,True
