molecule_read,brand_read,strength_read,dosage_type,raw,cghs_list,standing_technical_committee_required,approved_by,restricted,stc_cost_triggers,source_name,source_file,out_of_scope,out_of_scope_reason,retrieved_utc
Dabrafenib,,75 MG,Caps,DABRAFENIB 75 MG CAP (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Darolutamide,,300 MG,Tab,DAROLUTAMIDE 300 MG TAB (PACK SIZE 1X16),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dostarlimab,,500MG/10ML,Inj.,DOSTARLIMAB 500MG/10ML INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Eculizumab,,300MG/30ML,Inj.,ECULIZUMAB 300MG/30ML INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Enfortumab Vedotin,,20 mg,Inj.,ENFORTUMAB VEDOTIN 20 mg INJ. (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,enfortumab is an oncology molecule,2026-08-05T15:26:38+00:00
Entrectinib Capsules,,100 mg,Caps,ENTRECTINIB 100 mg Capsules (PACK SIZE 1x30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Entrectinib Capsules,,200 mg,Caps,ENTRECTINIB 200 mg Capsules (PACK SIZE 1x90),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Eptacog Alfa Human Recombinant Coagulation Factor Vii Activated,ACTIVATED,1 MG,Inj.,EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 1 MG INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Eptacog Alfa Human Recombinant Coagulation Factor Vii Activated,ACTIVATED,2MG,Inj.,EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 2MG (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Erenumab,,70 MG/ML,Inj.,ERENUMAB SOLUTION INJ 70 MG/ML (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
