molecule_read,brand_read,strength_read,dosage_type,raw,cghs_list,standing_technical_committee_required,approved_by,restricted,stc_cost_triggers,source_name,source_file,out_of_scope,out_of_scope_reason,retrieved_utc
Risdiplam,,60 MG,Solution,RISDIPLAM 60 MG (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Romosozumab,,105 MG/1.17 ML,Inj.,ROMOSOZUMAB 105 MG/1.17 ML INJ (PACK SIZE 2PFS x 1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Rucaparib,,200MG,Tab,RUCAPARIB 200MG TAB (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Rucaparib,,300MG,Tab,RUCAPARIB 300MG TAB (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Selpercatinib,,120 MG,Tab,SELPERCATINIB 120 MG TAB (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Selpercatinib,,160 MG,Tab,SELPERCATINIB 160 MG TAB (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Selpercatinib,,40 MG,Tab,SELPERCATINIB 40 MG TAB (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Selpercatinib,,80 MG,Tab,SELPERCATINIB 80 MG TAB (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Serplulimab,,100 MG/10 ML,Inj.,SERPLULIMAB 100 MG/10 ML INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Somatrogon,GENRYZON,24 MG,Inj.,SOMATROGON (GENRYZON) 24 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Somatrogon,GENRYZON,60 MG,Inj.,SOMATROGON (GENRYZON) 60 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Sotatercept,,45 MG,Inj.,SOTATERCEPT 45 MG INJ  (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Sotatercept,,60 MG,Inj.,SOTATERCEPT 60 MG INJ  (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Teclistamab,,153 MG,Inj.,TECLISTAMAB 153 MG INJ (PACK 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Teclistamab,,30 MG,Inj.,TECLISTAMAB 30 MG INJ (PACK 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Tepotinib,,225 MG,Tab,TEPOTINIB 225 MG TAB (PACK SIZE 1X30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Tislelizumab,,100 MG,Inj.,TISLELIZUMAB 100 MG INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,tislelizumab is an oncology molecule,2026-08-05T15:26:38+00:00
Toripalimab,ZYTORVI,240 mg/6 ml,Inj.,TORIPALIMAB (ZYTORVI) 240 mg/6 ml Inj (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Trametinib,,0.5 MG,Tab,TRAMETINIB 0.5 MG TAB (PACK SIZE 1X30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Tremelimumab,,300 MG/15 ML,Inj.,TREMELIMUMAB 300 MG/15 ML INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Trientine,,250MG,Caps,TRIENTINE 250MG TAB (PACK SIZE 1X30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Turoctocog Alfa Pegol Esperoct,,1000 IU,Inj.,TUROCTOCOG ALFA PEGOL (ESPEROCT 1000 IU) INJ,STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Turoctocog Alfa Pegol Esperoct,,1500 IU,Inj.,TUROCTOCOG ALFA PEGOL (ESPEROCT 1500 IU) INJ,STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Turoctocog Alfa Pegol Esperoct,,2000 IU,Inj.,TUROCTOCOG ALFA PEGOL (ESPEROCT 2000 IU),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Turoctocog Alfa Pegol Esperoct,,500 IU,Inj.,TUROCTOCOG ALFA PEGOL (ESPEROCT 500 IU) INJ,STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Vorasidenib,,10 MG,Tab,VORASIDENIB 10 MG TAB (PACK SIZE 1X30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Vorasidenib,,40 MG,Tab,VORASIDENIB 40 MG TAB (PACK SIZE 1x30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Zanubrutinib,,80MG,Tab,ZANUBRUTINIB 80MG TAB (PACK SIZE 1X120),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter 4-Prong Pd Set,CAPD,,Device,(CAPD)(BAXTER) 4-PRONG PD SET(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd 1 5 2 5 Ltr,CAPD,,Liquid,(CAPD)(BAXTER) CAPD 1.5% 2.5 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd 2 5 2 5 Ltr,CAPD,,Liquid,(CAPD)(BAXTER) CAPD 2.5% 2.5 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Extraneal Icodextrin 7 5 1X1,CAPD,,Device,(CAPD)(BAXTER) EXTRANEAL (ICODEXTRIN 7.5%)(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Titanium Adopter,CAPD,,Device,(CAPD)(BAXTER) TITANIUM ADOPTER(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd 1 5 Low Calciulm 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(BAXTER)CAPD 1.5%(LOW CALCIULM) 2 LTR(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd 2 5 Low Calciulm 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(BAXTER)CAPD 2.5%(LOW CALCIULM) 2 LTR(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Mini,CAPD,,Device,(CAPD)(BAXTER)CAPD MINI CAP(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Sol 1 5 2 Ltr,CAPD,,Liquid,(CAPD)(BAXTER)CAPD SOL 1.5% 2 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Sol 1 5 5 Ltr,CAPD,,Liquid,(CAPD)(BAXTER)CAPD SOL 1.5% 5 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Soln 2 5 2 Ltr,CAPD,,Liquid,(CAPD)(BAXTER)CAPD SOLN 2.5% 2 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Soln 2 5 5 Ltr,CAPD,,Liquid,(CAPD)(BAXTER)CAPD SOLN 2.5% 5 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Capd Soln 4 5 2 Ltr,CAPD,,Liquid,(CAPD)(BAXTER)CAPD SOLN 4.5% 2 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Clamp,CAPD,,Device,(CAPD)(BAXTER)CLAMP(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Drain Bag 15 Ltr,CAPD,,Device,(CAPD)(BAXTER)DRAIN BAG 15 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Transfer Set 2 Ltr,CAPD,,Device,(CAPD)(BAXTER)TRANSFER SET 2 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Baxter Ultra Y Set Simple Disconnect 3 Ltr,CAPD,,Device,(CAPD)(BAXTER)ULTRA Y SET SIMPLE DISCONNECT 3 LTR (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Capd Soln 1 5 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(FRESENIUS)CAPD SOLN 1.5% 2 LTR(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Capd Soln 2 3 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(FRESENIUS)CAPD SOLN 2.3% 2 LTR(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Capd Soln 4 5 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(FRESENIUS)CAPD SOLN 4.5% 2 LTR(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Catheter Adapter Luer Lock 1X1,CAPD,,Device,(CAPD)(FRESENIUS)CATHETER ADAPTER LUER LOCK(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Catheter Extension Line 1X1,CAPD,,Device,(CAPD)(FRESENIUS)CATHETER EXTENSION LINE(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Disinfection Safety 1X1,CAPD,,Device,(CAPD)(FRESENIUS)DISINFECTION SAFETY CAP(1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Drainage Bag Kit,CAPD,,Device,(CAPD)(FRESENIUS)DRAINAGE BAG KIT(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Fresenius Organiser,CAPD,,Device,(CAPD)(FRESENIUS)ORGANISER(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Mini,CAPD,,Device,(CAPD)(J MITRA) MINI CAP(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Capd Soln 1 5 2 Ltr P Size 1X1,CAPD,,Liquid,(CAPD)(J MITRA)CAPD SOLN 1.5% 2 LTR(P.SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Capd Soln 2 5 2 Ltr,CAPD,,Liquid,(CAPD)(J MITRA)CAPD SOLN 2.5% 2 LTR(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Capd Soln 4 25 2 Ltr 1X1,CAPD,,Liquid,(CAPD)(J MITRA)CAPD SOLN 4.25% 2 LTR (1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Dressing Kit,CAPD,,Device,(CAPD)(J MITRA)DRESSING KIT(PACK SIZE 1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Titanium Adopter,CAPD,,Device,(CAPD)(J MITRA)TITANIUM ADOPTER(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Transfer Set,CAPD,,Device,(CAPD)(J MITRA)TRANSFER SET(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Trichoice,CAPD,,Device,(CAPD)(J MITRA)TRICHOICE(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
J Mitra Ultra Y Set,CAPD,,Device,(CAPD)(J MITRA)ULTRA Y SET(PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Sterling Life System Dressing Kit 1X30,CAPD,,Device,(CAPD)(STERLING LIFE SYSTEM)DRESSING KIT(1X30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Ab-Taxomed Injection,,,Inj.,Ab-Taxomed Injection,NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Abemaciclib,,100MG,Tab,ABEMACICLIB 100MG TAB (PACK SIZE 2X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Abemaciclib,,150MG,Tab,ABEMACICLIB 150MG (PACK SIZE 2X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Abemaciclib,,200MG,Tab,ABEMACICLIB 200MG TAB (PACK SIZE 2X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Abemaciclib,,50 MG,Tab,ABEMACICLIB 50 MG TAB (PACK SIZE 2X7),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Abirateron Acetate,,250mg,Tab,ABIRATERON ACETATE 250mg TAB (PACK SIZE 1x120),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Acalabrutinib,,100MG,Tab,ACALABRUTINIB 100MG TAB (PACK SIZE X 30),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Adalimumab,EXEMPTIA,40 MG,Inj.,ADALIMUMAB 40 MG INJ (PACK SIZE 1x1) (EXEMPTIA),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Adalimumab,MABURA,40MG,Inj.,ADALIMUMAB 40MG INJ (PACK SIZE 1X1)(MABURA),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Ado-Trastuzumab Emtansine,,100mg,Inj.,ADO-TRASTUZUMAB EMTANSINE (100mg) Inj. (PACK 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,trastuzumab is an oncology molecule,2026-08-05T15:26:38+00:00
Ado-Trastuzumab Emtansine,,160mg,Inj.,ADO-TRASTUZUMAB EMTANSINE (160mg) Inj. (PACK 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,True,trastuzumab is an oncology molecule,2026-08-05T15:26:38+00:00
Afatinib Dimaleate,,30 MG,Tab,AFATINIB DIMALEATE 30 MG (PACK SIZE 1X28),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Afatinib Dimaleate,,40 MG,Tab,AFATINIB DIMALEATE 40 MG (PACK SIZE 1X28),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Aflibercept,,40 MG/ML,Inj.,AFLIBERCEPT 40 MG/ML (PACK SIZE 1X1),NON_STC,False,Additional Director / CMO of the Medical Store Depot,True,,CGHS restricted medicine lists,NON_STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
